,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
BinaryGlobal.MUT91.c,CLSR,18,16,18,19,low,18,16,18,17,2,,binary
BinaryGlobal.MUT92.c,CRCR,18,16,18,19,low,18,16,18,20,(-1),-1,binary
BinaryGlobal.MUT93.c,CRCR,18,16,18,19,low,18,16,18,19,(0),0,binary
BinaryGlobal.MUT94.c,CRCR,18,16,18,19,low,18,16,18,19,(1),1,binary
BinaryGlobal.MUT95.c,CRCR,18,16,18,19,low,18,16,18,28,(2147483647),max,binary
BinaryGlobal.MUT96.c,CRCR,18,16,18,19,low,18,16,18,29,(-2147483648),min,binary
BinaryGlobal.MUT97.c,VGSR,18,16,18,19,low,18,16,18,21,count,,binary
BinaryGlobal.MUT98.c,VLSR,18,16,18,19,low,18,16,18,19,key,,binary
BinaryGlobal.MUT99.c,VLSR,18,16,18,19,low,18,16,18,20,high,,binary
BinaryGlobal.MUT100.c,VLSR,18,16,18,19,low,18,16,18,19,mid,,binary
BinaryGlobal.MUT101.c,OAAN,18,20,18,21,+,18,20,18,21,%,+%,binary
BinaryGlobal.MUT102.c,OAAN,18,20,18,21,+,18,20,18,21,*,+*,binary
BinaryGlobal.MUT103.c,OAAN,18,20,18,21,+,18,20,18,21,-,+-,binary
BinaryGlobal.MUT104.c,OAAN,18,20,18,21,+,18,20,18,21,/,+/,binary
BinaryGlobal.MUT105.c,CGSR,18,22,18,26,high,18,22,18,23,5,,binary
BinaryGlobal.MUT106.c,CLSR,18,22,18,26,high,18,22,18,23,0,,binary
BinaryGlobal.MUT107.c,CLSR,18,22,18,26,high,18,22,18,23,1,,binary
BinaryGlobal.MUT108.c,CLSR,18,22,18,26,high,18,22,18,23,2,,binary
BinaryGlobal.MUT109.c,CRCR,18,22,18,26,high,18,22,18,26,(-1),-1,binary
BinaryGlobal.MUT110.c,CRCR,18,22,18,26,high,18,22,18,25,(0),0,binary
BinaryGlobal.MUT111.c,CRCR,18,22,18,26,high,18,22,18,25,(1),1,binary
BinaryGlobal.MUT112.c,CRCR,18,22,18,26,high,18,22,18,32,(2147483647),max,binary
BinaryGlobal.MUT113.c,CRCR,18,22,18,26,high,18,22,18,32,(-2147483648),min,binary
BinaryGlobal.MUT114.c,VGSR,18,22,18,26,high,18,22,18,27,count,,binary
BinaryGlobal.MUT115.c,VLSR,18,22,18,26,high,18,22,18,25,key,,binary
BinaryGlobal.MUT116.c,VLSR,18,22,18,26,high,18,22,18,25,low,,binary
